,alpha,beta,emit
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
,,,
,,,
,,,
,,,
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
MW926 y data,-1.267828357,16.76214356,2.50E-07
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
MW926 y data,-1.267828357,16.76214356,2.50E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.197171097,4.013860176,2.44E-07
MW924 y data,0.258854264,20.63420495,2.50E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.197171097,4.013860176,2.44E-07
MW924 y data,0.258854264,20.63420495,2.50E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.223645912,4.113919352,2.67E-07
MW924 y data,0.258854264,20.63420495,2.50E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.223645912,4.113919352,2.67E-07
MW924 y data,0.245820487,20.62961355,2.61E-07
1Control dist x,-0.408225129,20.21444403,2.44E-07
1Control dist y,-1.267569521,16.76102756,2.50E-07
MW924 x data,-4.776793014,7.37979115,9.52E-09
MW924 y data,0.767782903,11.51931792,5.50E-07
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.385056429,19.2732696,2.72E-07
MW926 y data,-1.275627484,17.01377719,2.61E-07
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
MW926 y data,-1.267828357,16.76214356,2.50E-07
3Control dist x,-1.657863012,30.7292115,2.44E-07
3Control dist y,-1.120017825,34.47726154,2.50E-07
MW927 x data,-1.453401349,25.51340469,2.44E-07
MW927 y data,-1.010707871,30.90837583,2.50E-07
3Control dist x,-1.657863012,30.7292115,2.44E-07
3Control dist y,-1.120017825,34.47726154,2.50E-07
MW927 x data,-1.139878726,21.11646524,3.15E-07
MW927 y data,-0.97547142,30.73660524,2.66E-07
3Control dist x,-1.657863012,30.7292115,2.44E-07
3Control dist y,-1.120017825,34.47726154,2.50E-07
MW927 x data,-1.139878726,21.11646524,3.15E-07
MW927 y data,-0.97547142,30.73660524,2.66E-07
3Control dist x,-1.453253068,25.51053879,2.44E-07
3Control dist y,-1.010345297,30.90348877,2.50E-07
MW927 x data,-1.139878726,21.11646524,3.15E-07
MW927 y data,-0.97547142,30.73660524,2.66E-07
3Control dist x,-1.453253068,25.51053879,2.44E-07
3Control dist y,-1.010345297,30.90348877,2.50E-07
MW927 x data,-1.139878726,21.11646524,3.15E-07
MW927 y data,-0.97547142,30.73660524,2.66E-07
2Control dist x,-1.453253068,25.51053879,2.44E-07
2Control dist y,-1.010345297,30.90348877,2.50E-07
MW926 x data,-0.223524336,11.72993696,4.46E-07
MW926 y data,-15.16569159,214.5976391,1.57E-08
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.385056429,19.2732696,2.72E-07
MW926 y data,-1.275627484,17.01377719,2.61E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.197171097,4.013860176,2.44E-07
MW924 y data,0.258854264,20.63420495,2.50E-07
3Control dist x,-1.657863012,30.7292115,2.44E-07
3Control dist y,-1.120017825,34.47726154,2.50E-07
MW927 x data,-1.453401349,25.51340469,2.44E-07
MW927 y data,-1.010707871,30.90837583,2.50E-07
1Control dist x,0.197234313,4.013910496,2.44E-07
1Control dist y,0.259069845,20.63409943,2.50E-07
MW924 x data,0.197171097,4.013860176,2.44E-07
MW924 y data,0.258854264,20.63420495,2.50E-07
2Control dist x,-0.408225129,20.21444403,2.44E-07
2Control dist y,-1.267569521,16.76102756,2.50E-07
MW926 x data,-0.408217898,20.21570002,2.44E-07
MW926 y data,-1.267828357,16.76214356,2.50E-07
