,focusing x,sigx,errx,sig_sqr x,sig_sqr errx,focusing y,sigy,erry,sig_sqr y,sig_sqr erry,lcutx,rcutx,offsetx,lcuty,rcuty,offsety
sample_0_1,0.9756820918690638,0.00617355379468168,0.00018772915409124994,3.811276645582857e-05,2.3179120632248357e-06,1.0243179081309362,0.010776891606496334,0.00042533622741402577,0.00011614139269817114,9.16760483831406e-06,0.0,1.0,0.0,0.0,1.0,0.0
sample_1_1,0.9120532449737895,0.005739870300152016,0.0001445413756933868,3.2946111062567196e-05,1.659297498971171e-06,1.0879467550262105,0.010111552626299734,0.00034124840987556914,0.00010224349651442904,6.901102510195838e-06,0.0,1.0,0.0,0.0,1.0,0.0
sample_2_1,0.8484861365365153,0.0053124904752624305,0.00011595533902672208,2.8222555049754044e-05,1.2320232682705742e-06,1.1515138634634847,0.010073437378122397,0.0003160359923717144,0.00010147414061095343,6.3671375567784655e-06,0.0,1.0,0.0,0.0,1.0,0.0
sample_3_1,0.7849723367454519,0.0049323342344431784,0.00010124853928963621,2.4327921000260177e-05,9.987832730512758e-07,1.215027663254548,0.010107404361769974,0.00029235102316715845,0.00010215962293232669,5.909820013455303e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_4_1,0.7215037614269597,0.00467444171860825,8.876347046469267e-05,2.1850405380665247e-05,8.298393388572212e-07,1.2784962385730403,0.010600057101433939,0.00032179172921591734,0.00011236121055366008,6.822021408915784e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_5_1,0.6580726720455488,0.004214139393543401,7.536348120335017e-05,1.7758970828214347e-05,6.351844299472113e-07,1.3419273279544512,0.00988431070937048,0.000251974151168984,9.769959819937595e-05,4.981181601768248e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_6_1,0.5946716757038781,0.003942378318832752,6.306027573878155e-05,1.5542346808802553e-05,4.972149277043747e-07,1.4053283242961219,0.010892571508336286,0.00027576680812051564,0.00011864811406421945,6.007619354156736e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_7_1,0.5312937251427566,0.003482146362936505,5.50131954473826e-05,1.2125343292911928e-05,3.8312799688123677e-07,1.4687062748572433,0.010684028698335723,0.0002409560400473616,0.00011414846922686131,5.148762493806686e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_8_1,0.4679321187411428,0.003202733529685319,6.446988327551135e-05,1.0257502062170584e-05,4.129597136427579e-07,1.532067881258857,0.010888622904401598,0.0003865965574081062,0.00011856210875425908,8.419008259513423e-06,3.0,1.0,0.0,0.0,1.0,0.0
sample_9_1,0.40458050051614436,0.0028617683752426254,5.9639444032494905e-05,8.189718233538816e-06,3.4134854969849286e-07,1.5954194994838558,0.011071852735396183,0.0003755062985807098,0.00012258592299429995,8.315100878198657e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_10_1,0.34123286012301857,0.0024989244031866018,4.183303649506044e-05,6.244623172841514e-06,2.0907519151380448e-07,1.6587671398769814,0.011213468293115522,0.0003369156735260902,0.00012574187116070714,7.555986445076946e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_11_1,0.2778835328551721,0.002126247851687361,3.784608481544875e-05,4.520929926805119e-06,1.6094031306725111e-07,1.722116467144828,0.011411210614597156,0.00036483914842518576,0.0001302157276906948,8.326512726260135e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_12_1,0.2145271996441619,0.0018180054866751287,3.418439720399932e-05,3.3051439495808715e-06,1.242948433511054e-07,1.785472800355838,0.01113275400238899,0.00028839139463979175,0.00012393821167770808,6.421180905861369e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_13_1,0.15115888705969305,0.0016205027989431044,3.7385222321503176e-05,2.6260293213824353e-06,1.2116571482221222e-07,1.848841112940307,0.011961433469942544,0.0003409437092234654,0.00014307589065586172,8.156350989743835e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_14_1,0.08777396730962106,0.0014413778685619803,3.1194804602313195e-05,2.0775701599802777e-06,8.99270019357793e-08,1.9122260326903788,0.011572040838471328,0.00033950849959609304,0.0001339121291672482,7.85761244466823e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_15_1,0.024368158239951088,0.0013866917391747978,2.3931198148138764e-05,1.9229139794956255e-06,6.63703895611585e-08,1.975631841760049,0.011564733769175611,0.00042611716618517646,0.00013374306715191074,9.855863162814253e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_16_1,-0.039062476665163715,0.0013908345878919039,1.6623442403953745e-05,1.934420850876442e-06,4.6240917330495613e-08,2.0390624766651637,0.011695929955359462,0.00040887589126388323,0.0001367947775206748,9.5643675693151e-06,6.0,1.0,0.0,0.0,1.0,0.0
sample_17_1,-0.10252152828341798,0.0015341716383910067,2.3244730506269322e-05,2.3536826160433457e-06,7.132281256952125e-08,2.102521528283418,0.011951965866410449,0.0004956807866224265,0.00014284948807184047,1.1848719684693443e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_18_1,-0.16601224185435925,0.0017555386030013696,3.0516875175289268e-05,3.0819157866280004e-06,1.0714710482638899e-07,2.166012241854359,0.012389600689155665,0.000517169358281704,0.00015350220523672653,1.2815043675554388e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_19_1,-0.22953751697938474,0.0020842667026794775,4.1385046959440044e-05,4.344167687898382e-06,1.7251495073277486e-07,2.2295375169793847,0.012824947373645675,0.0005374693368265778,0.0001644792751367811,1.3786031919498201e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_20_1,-0.29309990762174176,0.002401585945524406,4.4276890614826273e-05,5.767615053740356e-06,2.126695164241765e-07,2.293099907621742,0.012581672838325533,0.0006080264821708866,0.00015829849141065847,1.5299980551424132e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_21_1,-0.35670162210652934,0.002699578467252757,5.05133751734978e-05,7.287723900854746e-06,2.7272963985326933e-07,2.356701622106529,0.011832531511757099,0.0006168094541724094,0.00014000880197672473,1.459683460648946e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_22_1,-0.4203445231206955,0.0030186318029534814,6.42913863980578e-05,9.112137961802186e-06,3.8814404727429626e-07,2.4203445231206953,0.012016434499567387,0.000671242787894604,0.00014439469808239332,1.6131889988085028e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_23_1,-0.484030127713039,0.0034169185237126207,7.955527962324599e-05,1.1675332197690435e-05,5.436678172076129e-07,2.484030127713039,0.012448449390455472,0.0007530151576007186,0.0001549638922267312,1.8747742159276795e-05,6.0,1.0,0.0,0.0,1.0,0.0
sample_24_1,-0.5477596072942108,0.003736247347367195,0.00010185327115626066,1.3959544240708403e-05,7.610980283565011e-07,2.5477596072942106,0.012966646801179729,0.0008494596124410032,0.0001681339292665445,2.2029285532779013e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_25_1,-0.6115337876367102,0.004022983578747545,0.00012815846946574193,1.6184396874872402e-05,1.0311588362761968e-06,2.61153378763671,0.012331428611461397,0.000920414267331728,0.00015206413159956877,2.27000456611435e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_26_1,-0.6753531488748885,0.004468886343265811,0.00015029389840998233,1.997094514902767e-05,1.3432927001610984e-06,2.6753531488748887,0.0131335405804677,0.0010306454776768388,0.00017248988817879186,2.7072048410288562e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_27_1,-0.7392178255049466,0.004762734748293745,0.0001832528329203432,2.268364228260468e-05,1.7455692701459728e-06,2.7392178255049466,0.012700134156559047,0.0010938275894313255,0.00016129340759459776,2.7783514259846843e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_28_1,-0.8031276063849366,0.005084675577917323,0.00024928777304898735,2.585392573266886e-05,2.535094902991164e-06,2.803127606384937,0.013310077661030857,0.0014331308155125814,0.00017715816734267264,3.815016490577789e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_29_1,-0.8670819347347603,0.005519061331195282,0.0002535088266707691,3.0460037977495036e-05,2.798261524790658e-06,2.8670819347347605,0.013020645138370384,0.0012701425126578666,0.0001695371998193683,3.307614986495239e-05,8.0,1.0,0.0,0.0,1.0,0.0
sample_30_1,-0.9310799081361703,0.005958297552102529,0.0003479040435814545,3.550130971939099e-05,4.1458316224759045e-06,2.9310799081361703,0.013469982443276404,0.0016897872539032364,0.00018144042702217456,4.552280928589768e-05,8.0,1.0,0.0,0.0,1.0,0.0
