,alpha,beta,emit
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.539653647,23.7198597,4.62e-07
file1 y gekko,0.538788284,23.68742678,4.62e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.338355289,19.71212743,4.7e-07
file1 y gekko,0.338350883,19.71190987,4.7e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.041832386,23.17792354,3.31e-07
file1 y gekko,0.041786463,23.15722143,3.31e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.041832386,23.17792354,3.31e-07
file1 y gekko,0.041786463,23.15722143,3.31e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.109224571,19.85074159,3.9e-07
file1 y gekko,0.109188201,19.8457481,3.9e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.213881525,23.20151933,3.72e-07
file1 y gekko,0.213843665,23.19769983,3.72e-07
file1 x scipy,0.026369035,8.207675856,3.61e-07
file1 x gekko,0.026368954,8.20764948,3.61e-07
file1 y scipy,0.311146701,21.85963074,4.2e-07
file1 y gekko,0.31113647,21.85898594,4.2e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.0263690360932323,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.3111467019549453,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
file1 x scipy,0.026369036093232396,8.207675857259714,3.605616448962328e-07
file1 x gekko,0.026368954934,8.2076494812,3.6056224203e-07
file1 y scipy,0.31114670195494537,21.85963070963648,4.20384340301884e-07
file1 y gekko,0.3111364711,21.85898591,4.2039023555e-07
